ID,Model_A,Model_B,Model_C,Model_D
Phi-4-mini_28,System_Prompt,Steered_V2,Vanilla,LoRA
Phi-4-mini_29,LoRA,Steered_V2,System_Prompt,Vanilla
Phi-4-mini_30,LoRA,Steered_V2,Vanilla,System_Prompt
Phi-4-mini_31,Vanilla,System_Prompt,LoRA,Steered_V2
Phi-4-mini_32,Steered_V2,Vanilla,System_Prompt,LoRA
Phi-4-mini_33,System_Prompt,Vanilla,LoRA,Steered_V2
Phi-4-mini_34,LoRA,Steered_V2,System_Prompt,Vanilla
Phi-4-mini_35,System_Prompt,Vanilla,Steered_V2,LoRA
Phi-4-mini_36,Steered_V2,Vanilla,System_Prompt,LoRA
Phi-4-mini_37,Steered_V2,System_Prompt,Vanilla,LoRA
Phi-4-mini_38,Steered_V2,LoRA,System_Prompt,Vanilla
Phi-4-mini_39,System_Prompt,Vanilla,LoRA,Steered_V2
Phi-4-mini_40,System_Prompt,Steered_V2,Vanilla,LoRA
Phi-4-mini_41,LoRA,Vanilla,Steered_V2,System_Prompt
Phi-4-mini_42,Steered_V2,Vanilla,System_Prompt,LoRA
Phi-4-mini_43,Vanilla,System_Prompt,LoRA,Steered_V2
Phi-4-mini_44,System_Prompt,Steered_V2,Vanilla,LoRA
Phi-4-mini_45,Vanilla,LoRA,Steered_V2,System_Prompt
Phi-4-mini_46,LoRA,Vanilla,System_Prompt,Steered_V2
Phi-4-mini_47,Steered_V2,System_Prompt,LoRA,Vanilla
Phi-4-mini_48,System_Prompt,Vanilla,Steered_V2,LoRA
Phi-4-mini_49,Steered_V2,System_Prompt,Vanilla,LoRA
Phi-4-mini_50,Vanilla,Steered_V2,System_Prompt,LoRA
Phi-4-mini_51,System_Prompt,LoRA,Steered_V2,Vanilla
Phi-4-mini_52,LoRA,Vanilla,System_Prompt,Steered_V2
Phi-4-mini_53,Vanilla,System_Prompt,Steered_V2,LoRA
Phi-4-mini_54,System_Prompt,Steered_V2,Vanilla,LoRA
Phi-4-mini_55,Steered_V2,Vanilla,LoRA,System_Prompt
Phi-4-mini_56,System_Prompt,Vanilla,Steered_V2,LoRA
Phi-4-mini_57,System_Prompt,Vanilla,LoRA,Steered_V2
Phi-4-mini_58,LoRA,Steered_V2,System_Prompt,Vanilla
Phi-4-mini_59,LoRA,Steered_V2,Vanilla,System_Prompt
Phi-4-mini_60,Vanilla,Steered_V2,LoRA,System_Prompt
Phi-4-mini_61,Vanilla,System_Prompt,Steered_V2,LoRA
Phi-4-mini_62,System_Prompt,LoRA,Steered_V2,Vanilla
Phi-4-mini_63,System_Prompt,Vanilla,LoRA,Steered_V2
Phi-4-mini_64,Vanilla,LoRA,Steered_V2,System_Prompt
Phi-4-mini_65,System_Prompt,LoRA,Vanilla,Steered_V2
Phi-4-mini_66,System_Prompt,Vanilla,Steered_V2,LoRA
Phi-4-mini_67,LoRA,Vanilla,Steered_V2,System_Prompt
Phi-4-mini_68,Vanilla,Steered_V2,LoRA,System_Prompt
Phi-4-mini_69,Vanilla,System_Prompt,LoRA,Steered_V2
Phi-4-mini_70,LoRA,System_Prompt,Vanilla,Steered_V2
Phi-4-mini_71,System_Prompt,LoRA,Steered_V2,Vanilla
Phi-4-mini_72,System_Prompt,LoRA,Vanilla,Steered_V2
Phi-4-mini_73,Vanilla,Steered_V2,System_Prompt,LoRA
Phi-4-mini_74,Vanilla,System_Prompt,LoRA,Steered_V2
Phi-4-mini_75,Vanilla,Steered_V2,System_Prompt,LoRA
Phi-4-mini_76,System_Prompt,Vanilla,Steered_V2,LoRA
Phi-4-mini_77,LoRA,Steered_V2,System_Prompt,Vanilla
Phi-4-mini_78,LoRA,System_Prompt,Steered_V2,Vanilla
Phi-4-mini_79,System_Prompt,Vanilla,LoRA,Steered_V2
Phi-4-mini_80,Vanilla,System_Prompt,LoRA,Steered_V2
Phi-4-mini_81,System_Prompt,Vanilla,LoRA,Steered_V2
Phi-4-mini_82,LoRA,Steered_V2,System_Prompt,Vanilla
Phi-4-mini_83,LoRA,Steered_V2,Vanilla,System_Prompt
Phi-4-mini_84,Steered_V2,LoRA,System_Prompt,Vanilla
Phi-4-mini_85,Steered_V2,LoRA,Vanilla,System_Prompt
Phi-4-mini_86,Vanilla,LoRA,System_Prompt,Steered_V2
Phi-4-mini_87,System_Prompt,LoRA,Vanilla,Steered_V2
Phi-4-mini_88,LoRA,Steered_V2,System_Prompt,Vanilla
Phi-4-mini_89,Vanilla,System_Prompt,Steered_V2,LoRA
Phi-4-mini_90,Vanilla,LoRA,System_Prompt,Steered_V2
Phi-4-mini_91,Vanilla,Steered_V2,LoRA,System_Prompt
Phi-4-mini_92,Steered_V2,LoRA,System_Prompt,Vanilla
Phi-4-mini_93,Steered_V2,LoRA,System_Prompt,Vanilla
Phi-4-mini_94,Steered_V2,LoRA,Vanilla,System_Prompt
Phi-4-mini_95,System_Prompt,Steered_V2,Vanilla,LoRA
Phi-4-mini_96,Steered_V2,Vanilla,LoRA,System_Prompt
Phi-4-mini_97,Vanilla,System_Prompt,LoRA,Steered_V2
Phi-4-mini_98,Vanilla,Steered_V2,System_Prompt,LoRA
Phi-4-mini_99,System_Prompt,LoRA,Steered_V2,Vanilla
Qwen-2.5_0,Steered_V2,LoRA,System_Prompt,Vanilla
Qwen-2.5_1,Vanilla,LoRA,System_Prompt,Steered_V2
Qwen-2.5_2,Vanilla,System_Prompt,LoRA,Steered_V2
Qwen-2.5_3,Vanilla,LoRA,System_Prompt,Steered_V2
Qwen-2.5_4,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_5,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_6,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_7,Vanilla,LoRA,System_Prompt,Steered_V2
Qwen-2.5_8,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_9,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_10,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_11,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_12,Steered_V2,Vanilla,LoRA,System_Prompt
Qwen-2.5_13,Steered_V2,LoRA,System_Prompt,Vanilla
Qwen-2.5_14,Steered_V2,Vanilla,LoRA,System_Prompt
Qwen-2.5_15,System_Prompt,Vanilla,Steered_V2,LoRA
Qwen-2.5_16,Vanilla,LoRA,System_Prompt,Steered_V2
Qwen-2.5_17,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_18,Steered_V2,System_Prompt,LoRA,Vanilla
Qwen-2.5_19,LoRA,Vanilla,Steered_V2,System_Prompt
Qwen-2.5_20,Steered_V2,System_Prompt,LoRA,Vanilla
Qwen-2.5_21,LoRA,Steered_V2,Vanilla,System_Prompt
Qwen-2.5_22,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_23,LoRA,Vanilla,System_Prompt,Steered_V2
Qwen-2.5_24,LoRA,Vanilla,Steered_V2,System_Prompt
Qwen-2.5_25,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_26,System_Prompt,Steered_V2,Vanilla,LoRA
Qwen-2.5_27,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_28,Vanilla,Steered_V2,LoRA,System_Prompt
Qwen-2.5_29,Steered_V2,Vanilla,LoRA,System_Prompt
Qwen-2.5_30,Steered_V2,LoRA,Vanilla,System_Prompt
Qwen-2.5_31,System_Prompt,Steered_V2,LoRA,Vanilla
Qwen-2.5_32,Vanilla,System_Prompt,Steered_V2,LoRA
Qwen-2.5_33,Steered_V2,System_Prompt,LoRA,Vanilla
Qwen-2.5_34,LoRA,Steered_V2,System_Prompt,Vanilla
Qwen-2.5_35,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_36,Vanilla,Steered_V2,System_Prompt,LoRA
Qwen-2.5_37,Steered_V2,Vanilla,LoRA,System_Prompt
Qwen-2.5_38,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_39,Steered_V2,System_Prompt,LoRA,Vanilla
Qwen-2.5_40,System_Prompt,Steered_V2,LoRA,Vanilla
Qwen-2.5_41,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_42,Vanilla,LoRA,System_Prompt,Steered_V2
Qwen-2.5_43,System_Prompt,Steered_V2,Vanilla,LoRA
Qwen-2.5_44,System_Prompt,Steered_V2,LoRA,Vanilla
Qwen-2.5_45,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_46,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_47,Steered_V2,Vanilla,LoRA,System_Prompt
Qwen-2.5_48,LoRA,Vanilla,Steered_V2,System_Prompt
Qwen-2.5_49,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_50,Vanilla,Steered_V2,System_Prompt,LoRA
Qwen-2.5_51,System_Prompt,LoRA,Steered_V2,Vanilla
Qwen-2.5_52,Vanilla,LoRA,Steered_V2,System_Prompt
Qwen-2.5_53,Vanilla,LoRA,System_Prompt,Steered_V2
Qwen-2.5_54,Vanilla,Steered_V2,LoRA,System_Prompt
Qwen-2.5_55,Vanilla,System_Prompt,LoRA,Steered_V2
Qwen-2.5_56,Vanilla,LoRA,Steered_V2,System_Prompt
Qwen-2.5_57,System_Prompt,Steered_V2,LoRA,Vanilla
Qwen-2.5_58,System_Prompt,Vanilla,LoRA,Steered_V2
Qwen-2.5_59,Vanilla,LoRA,Steered_V2,System_Prompt
Qwen-2.5_60,Vanilla,Steered_V2,System_Prompt,LoRA
Qwen-2.5_61,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_62,Steered_V2,LoRA,Vanilla,System_Prompt
Qwen-2.5_63,Vanilla,Steered_V2,LoRA,System_Prompt
Qwen-2.5_64,Vanilla,System_Prompt,LoRA,Steered_V2
Qwen-2.5_65,Steered_V2,Vanilla,System_Prompt,LoRA
Qwen-2.5_66,Steered_V2,LoRA,Vanilla,System_Prompt
Qwen-2.5_67,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_68,Steered_V2,LoRA,Vanilla,System_Prompt
Qwen-2.5_69,LoRA,Vanilla,Steered_V2,System_Prompt
Qwen-2.5_70,LoRA,Steered_V2,Vanilla,System_Prompt
Qwen-2.5_71,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_72,Vanilla,LoRA,Steered_V2,System_Prompt
Qwen-2.5_73,Vanilla,System_Prompt,Steered_V2,LoRA
Qwen-2.5_74,Steered_V2,LoRA,Vanilla,System_Prompt
Qwen-2.5_75,Vanilla,LoRA,Steered_V2,System_Prompt
Qwen-2.5_76,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_77,Steered_V2,System_Prompt,LoRA,Vanilla
Qwen-2.5_78,Steered_V2,System_Prompt,LoRA,Vanilla
Qwen-2.5_79,LoRA,Steered_V2,Vanilla,System_Prompt
Qwen-2.5_80,LoRA,System_Prompt,Vanilla,Steered_V2
Qwen-2.5_81,Steered_V2,System_Prompt,LoRA,Vanilla
Qwen-2.5_82,LoRA,System_Prompt,Steered_V2,Vanilla
Qwen-2.5_83,Steered_V2,Vanilla,System_Prompt,LoRA
Qwen-2.5_84,LoRA,System_Prompt,Vanilla,Steered_V2
Qwen-2.5_85,Vanilla,Steered_V2,System_Prompt,LoRA
Qwen-2.5_86,Vanilla,Steered_V2,LoRA,System_Prompt
Qwen-2.5_87,Vanilla,LoRA,Steered_V2,System_Prompt
Qwen-2.5_88,Vanilla,System_Prompt,LoRA,Steered_V2
Qwen-2.5_89,Vanilla,LoRA,Steered_V2,System_Prompt
Qwen-2.5_90,Vanilla,LoRA,System_Prompt,Steered_V2
Qwen-2.5_91,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_92,LoRA,System_Prompt,Vanilla,Steered_V2
Qwen-2.5_93,System_Prompt,Vanilla,Steered_V2,LoRA
Qwen-2.5_94,System_Prompt,Steered_V2,Vanilla,LoRA
Qwen-2.5_95,Vanilla,Steered_V2,System_Prompt,LoRA
Qwen-2.5_96,Steered_V2,System_Prompt,Vanilla,LoRA
Qwen-2.5_97,Steered_V2,Vanilla,System_Prompt,LoRA
Qwen-2.5_98,System_Prompt,LoRA,Vanilla,Steered_V2
Qwen-2.5_99,System_Prompt,Vanilla,Steered_V2,LoRA
